crate	version	scope	declared_license	review_route	archive_sha256	archive_url	notice_files
http-body-util	0.1.3	transitive	MIT	MIT	b021d93e26becf5dc7e1b75b1bed1fd93124b374ceb73f43d4d4eafec896a64a	https://crates.io/api/v1/crates/http-body-util/0.1.3/download	LICENSE
httparse	1.10.1	transitive	MIT OR Apache-2.0	MIT	6dbf3de79e51f3d586ab4cb9d5c3e2c14aa28ed23d180cf89b4df0454a69cc87	https://crates.io/api/v1/crates/httparse/1.10.1/download	LICENSE-APACHE; LICENSE-MIT
httpdate	1.0.3	transitive	MIT OR Apache-2.0	MIT	df3b46402a9d5adb4c86a0cf463f42e19994e3ee891101b1841f30a545cb49a9	https://crates.io/api/v1/crates/httpdate/1.0.3/download	LICENSE-APACHE; LICENSE-MIT
hyper	1.10.1	transitive	MIT	MIT	55281c53a1894c864990125767da440a4e630446785086f52523b20033b74498	https://crates.io/api/v1/crates/hyper/1.10.1/download	LICENSE
hyper-rustls	0.27.9	transitive	Apache-2.0 OR ISC OR MIT	MIT	33ca68d021ef39cf6463ab54c1d0f5daf03377b70561305bb89a8f83aab66e0f	https://crates.io/api/v1/crates/hyper-rustls/0.27.9/download	LICENSE-APACHE; LICENSE-ISC; LICENSE-MIT
hyper-util	0.1.20	transitive	MIT	MIT	96547c2556ec9d12fb1578c4eaf448b04993e7fb79cbaad930a656880a6bdfa0	https://crates.io/api/v1/crates/hyper-util/0.1.20/download	LICENSE
iana-time-zone	0.1.65	transitive	MIT OR Apache-2.0	MIT	e31bc9ad994ba00e440a8aa5c9ef0ec67d5cb5e5cb0cc7f8b744a35b389cc470	https://crates.io/api/v1/crates/iana-time-zone/0.1.65/download	LICENSE-APACHE; LICENSE-MIT
iana-time-zone-haiku	0.1.2	transitive	MIT OR Apache-2.0	MIT	f31827a206f56af32e590ba56d5d2d085f558508192593743f16b2306495269f	https://crates.io/api/v1/crates/iana-time-zone-haiku/0.1.2/download	LICENSE-APACHE; LICENSE-MIT
icu_collections	2.1.1	transitive	Unicode-3.0	Unicode-3.0	4c6b649701667bbe825c3b7e6388cb521c23d88644678e83c0c4d0a621a34b43	https://crates.io/api/v1/crates/icu_collections/2.1.1/download	LICENSE
icu_locale_core	2.1.1	transitive	Unicode-3.0	Unicode-3.0	edba7861004dd3714265b4db54a3c390e880ab658fec5f7db895fae2046b5bb6	https://crates.io/api/v1/crates/icu_locale_core/2.1.1/download	LICENSE
icu_normalizer	2.1.1	transitive	Unicode-3.0	Unicode-3.0	5f6c8828b67bf8908d82127b2054ea1b4427ff0230ee9141c54251934ab1b599	https://crates.io/api/v1/crates/icu_normalizer/2.1.1/download	LICENSE
icu_normalizer_data	2.1.1	transitive	Unicode-3.0	Unicode-3.0	7aedcccd01fc5fe81e6b489c15b247b8b0690feb23304303a9e560f37efc560a	https://crates.io/api/v1/crates/icu_normalizer_data/2.1.1/download	LICENSE
icu_properties	2.1.2	transitive	Unicode-3.0	Unicode-3.0	020bfc02fe870ec3a66d93e677ccca0562506e5872c650f893269e08615d74ec	https://crates.io/api/v1/crates/icu_properties/2.1.2/download	LICENSE
icu_properties_data	2.1.2	transitive	Unicode-3.0	Unicode-3.0	616c294cf8d725c6afcd8f55abc17c56464ef6211f9ed59cccffe534129c77af	https://crates.io/api/v1/crates/icu_properties_data/2.1.2/download	LICENSE
icu_provider	2.1.1	transitive	Unicode-3.0	Unicode-3.0	85962cf0ce02e1e0a629cc34e7ca3e373ce20dda4c4d7294bbd0bf1fdb59e614	https://crates.io/api/v1/crates/icu_provider/2.1.1/download	LICENSE
idna	1.1.0	transitive	MIT OR Apache-2.0	MIT	3b0875f23caa03898994f6ddc501886a45c7d3d62d04d2d90788d47be1b1e4de	https://crates.io/api/v1/crates/idna/1.1.0/download	LICENSE-APACHE; LICENSE-MIT
idna_adapter	1.2.1	transitive	Apache-2.0 OR MIT	MIT	3acae9609540aa318d1bc588455225fb2085b9ed0c4f6bd0d9d5bcd86f1a0344	https://crates.io/api/v1/crates/idna_adapter/1.2.1/download	LICENSE-APACHE; LICENSE-MIT
if-addrs	0.15.0	transitive	MIT OR BSD-3-Clause	MIT	c0a05c691e1fae256cf7013d99dad472dc52d5543322761f83ec8d47eab40d2b	https://crates.io/api/v1/crates/if-addrs/0.15.0/download	LICENSE-BSD; LICENSE-MIT
indexmap	2.14.0	transitive	Apache-2.0 OR MIT	MIT	d466e9454f08e4a911e14806c24e16fba1b4c121d1ea474396f396069cf949d9	https://crates.io/api/v1/crates/indexmap/2.14.0/download	LICENSE-APACHE; LICENSE-MIT
